A	5	5
B	6	5
A	11	4
B	13	6
D	16	15
A	16	3
C	17	8
B	20	7
A	20	4
C	22	7
B	26	3
A	26	5
A	30	1
D	31	13
B	32	8
A	34	3
C	35	6
A	38	4
B	40	5
A	43	5
B	47	6
A	48	3
D	49	13
C	49	8
A	52	5
B	53	2
A	56	3
C	59	12
A	61	4
B	61	8
C	64	9
A	65	4
D	66	13
B	68	3
A	71	1
B	76	3
A	76	2
C	77	11
A	82	3
B	83	4
A	88	4
D	89	7
B	89	3
C	93	10
A	93	5
B	96	6
A	97	2
B	102	7
A	102	3
A	107	2
D	109	11
B	110	8
C	111	7
A	113	1
C	117	9
B	118	5
A	119	2
C	122	7
A	123	3
B	124	2
D	126	16
C	126	12
A	129	4
B	132	4
C	134	12
A	134	5
B	138	8
A	139	1
D	142	7
A	143	2
B	144	8
C	146	11
A	147	4
B	152	6
A	152	2
A	156	5
B	159	7
D	162	9
A	162	4
C	164	12
B	166	2
A	166	4
C	169	7
A	170	4
B	173	7
A	175	2
B	179	5
C	180	10
A	180	4
A	184	5
D	186	17
B	186	2
C	190	10
A	190	2
B	193	6
C	194	8
A	196	5
B	199	2
A	200	5
D	204	10
A	204	2
B	206	4
C	208	12
A	210	1
B	212	3
A	214	5
D	218	15
A	218	4
B	218	2
A	222	4
C	223	12
B	225	2
A	228	3
A	232	2
B	233	4
D	234	11
C	234	7
A	237	3
B	239	5
A	243	5
B	246	7
A	247	3
D	249	13
C	251	11
B	253	6
A	253	4
A	259	4
B	260	4
C	262	6
A	264	3
D	268	17
A	268	5
B	268	2
C	270	7
A	274	2
B	275	4
C	278	11
A	280	1
B	281	5
A	284	4
B	287	3
C	289	10
A	289	5
D	290	8
C	294	11
B	294	3
A	295	3
C	299	10
A	299	3
B	300	8
A	303	4
D	307	13
B	307	4
A	308	4
A	314	1
B	315	4
C	317	10
A	319	3
C	322	6
B	322	4
A	324	1
D	325	8
B	328	5
A	329	3
A	334	2
C	335	6
B	335	6
A	338	3
D	339	14
A	342	2
B	342	4
C	344	10
C	348	10
A	348	2
B	349	6
C	352	10
D	354	15
A	354	3
B	357	5
C	358	8
A	359	1
B	363	8
C	364	11
A	365	5
B	370	5
A	371	2
C	371	8
B	376	4
D	377	17
A	377	4
C	378	10
A	381	5
B	384	5
A	385	4
A	390	1
B	390	5
C	391	8
A	395	2
C	398	9
B	398	6
A	399	2
D	400	11
A	405	1
B	405	8
A	409	5
C	413	10
A	413	5
B	413	8
A	418	5
B	421	8
D	424	7
A	424	5
B	427	2
A	429	4
C	430	10
A	434	1
B	435	8
A	440	5
B	443	4
A	445	3
C	446	12
D	448	9
B	449	3
A	450	3
A	456	5
B	457	5
D	462	12
C	462	6
A	462	1
B	464	5
A	467	1
B	472	5
A	472	1
A	478	4
B	478	3
D	479	10
C	480	10
A	483	1
B	485	2
A	487	5
C	487	6
B	491	4
A	492	2
D	493	7
C	494	9
A	496	3
B	497	5
A	500	1
B	505	7
